firstName,lastName,email,phoneNumber,jobTitle,addressLine1,addressLine2,town,county,postCode,country
James,Raymond,james.raymond@test.com,07284 232111,Senior Java Developer,32 Green Close,,Exeter,Devon,EX1 7DS,England
Rob,Nicholson,rob.nicholson@test.com,07215 431643,Junior Java Developer,65 Pepper Lane,,Exeter,Devon,EX2 8SD,England
Joe,Harper,joe.harper@test.com,07246 224963,Project Manager,1 School Road,,Exeter,Devon,EX1 4HJ,England
Pete,Armstrong,pete.armstrong@test.com,07145 146342,Program Manager,66 Fairacre Avenue,,Newton Abbott,Devon,TA12 4AS,England
Andy ,Large,andy.large@test.com,07326 286334,Project Manager,32 Ashleigh Road,,Exeter,Devon,EX2 4SS,England
Scott,Smith,scott.smith@test.com,07453 434022,Account Manager,44 Newport Road,Newport,Banstaple,Devon,EX32 8FD,England
Steve,Amos,steve.amos@test.com,07321 314444,Senior Java Developer,12 Frome place,,Taunton,Somerset,TA1 3DS,England
Hugo,King,hugo.king@test.com,07111 242232,Senior Java Developer,888 Casino Avenue,,Plymouth,Devon,PL44 3SD,England
Richard,Smith,richard.smith@test.com,07323 532313,Javascript Developer,21 Java Place,,Plymouth,Devon,PL2 4LK,England
Simon,Mann,simon.mann@test.com,07332 325555,Head of Development,21 Spring Road,,Exeter,Devon,EX1 5DS,England
Dan,Myers,dan.myers@test.com,07323 523211,Java Developer,52 Boot Lane,,Exeter,Devon,EX1 2DS,England
